,country,Date,t_3,t_2,t_1,arrival
446,64,31/12/2018,4.0,3.85,4.57,6.95
447,64,31/12/2019,3.85,4.57,6.95,8.51
448,65,31/12/2013,2.95,3.3,3.64,4.01
449,65,31/12/2014,3.3,3.64,4.01,4.06
450,65,31/12/2015,3.64,4.01,4.06,4.38
451,65,31/12/2016,4.01,4.06,4.38,4.72
452,65,31/12/2017,4.06,4.38,4.72,4.99
453,65,31/12/2018,4.38,4.72,4.99,5.38
454,65,31/12/2019,4.72,4.99,5.38,5.28
455,66,31/12/2013,2.42,2.93,3.51,3.26
456,66,31/12/2014,2.93,3.51,3.26,3.67
457,66,31/12/2015,3.51,3.26,3.67,4.13
458,66,31/12/2016,3.26,3.67,4.13,4.74
459,66,31/12/2017,3.67,4.13,4.74,5.12
460,66,31/12/2018,4.13,4.74,5.12,5.93
461,66,31/12/2019,4.74,5.12,5.93,6.41
462,67,31/12/2013,10.97,6.48,4.0,4.0
463,67,31/12/2014,6.48,4.0,4.0,4.0
464,67,31/12/2015,4.0,4.0,4.0,4.0
465,67,31/12/2016,4.0,4.0,4.0,1.04
466,67,31/12/2017,4.0,4.0,1.04,1.29
467,67,31/12/2018,4.0,1.04,1.29,1.8
468,67,31/12/2019,1.04,1.29,1.8,2.42
469,68,31/12/2013,3.17,3.37,3.66,3.54
470,68,31/12/2014,3.37,3.66,3.54,3.46
471,68,31/12/2015,3.66,3.54,3.46,4.1
472,68,31/12/2016,3.54,3.46,4.1,4.32
473,68,31/12/2017,3.46,4.1,4.32,4.74
474,68,31/12/2018,4.1,4.32,4.74,4.18
475,68,31/12/2019,4.32,4.74,4.18,4.37
476,69,31/12/2013,2.51,2.72,3.33,3.78
477,69,31/12/2014,2.72,3.33,3.78,4.16
478,69,31/12/2015,3.33,3.78,4.16,4.68
479,69,31/12/2016,3.78,4.16,4.68,4.24
480,69,31/12/2017,4.16,4.68,4.24,3.87
481,69,31/12/2018,4.68,4.24,3.87,4.19
482,69,31/12/2019,4.24,3.87,4.19,4.79
483,70,31/12/2013,3.44,3.36,3.52,3.54
484,70,31/12/2014,3.36,3.52,3.54,3.25
485,70,31/12/2015,3.52,3.54,3.25,3.11
486,70,31/12/2016,3.54,3.25,3.11,3.07
487,70,31/12/2017,3.25,3.11,3.07,3.86
488,70,31/12/2018,3.11,3.07,3.86,4.39
489,70,31/12/2019,3.07,3.86,4.39,4.91
490,71,31/12/2013,2.83,3.08,3.31,3.27
491,71,31/12/2014,3.08,3.31,3.27,3.5
492,71,31/12/2015,3.31,3.27,3.5,3.69
493,71,31/12/2016,3.27,3.5,3.69,3.84
494,71,31/12/2017,3.5,3.69,3.84,4.28
495,71,31/12/2018,3.69,3.84,4.28,4.32
496,71,31/12/2019,3.84,4.28,4.32,4.23
497,72,31/12/2013,2.53,2.72,2.85,2.86
498,72,31/12/2014,2.72,2.85,2.86,3.01
499,72,31/12/2015,2.85,2.86,3.01,3.54
500,72,31/12/2016,2.86,3.01,3.54,4.01
501,72,31/12/2017,3.01,3.54,4.01,4.65
502,72,31/12/2018,3.54,4.01,4.65,4.71
503,72,31/12/2019,4.01,4.65,4.71,4.28
504,73,31/12/2013,2.71,3.24,3.16,3.24
505,73,31/12/2014,3.24,3.16,3.24,3.2
506,73,31/12/2015,3.16,3.24,3.2,3.29
507,73,31/12/2016,3.24,3.2,3.29,3.63
508,73,31/12/2017,3.2,3.29,3.63,4.22
509,73,31/12/2018,3.29,3.63,4.22,3.95
510,73,31/12/2019,3.63,4.22,3.95,3.48
511,74,31/12/2013,3.67,4.19,4.23,2.8
512,74,31/12/2014,4.19,4.23,2.8,2.73
